"","score","text"
"179",0,"गर सच्चे #बिहारी_हो_तुम 
.
तो जोन Modi देश तोडन की राजनीति करे रहा उस Modi  #ModiBhagaoDeshBachao 
जोन #nitish जोडन की समझ रखे #nitish Jitao"
"180",0,"गर Modi की धोखा धडी को जानत पहचानत रहे, भली भांती, तभी कहल बा सच्चे #बिहारी_हो_तुम 
.
Modi इब देश तोडन की राजनीति करे रहा, #nitish जोडन की"
"181",0,"#BJP came2 #Bihar with #MadeInDelhi ship of #Parivartan,but on boats of DNA,#Jungle,Reservation,TantraMantra,#Lalu-#Nitish?#बिहारी_हो_तुम"
"182",-1,"#Nitish KUmar dares Narendra Modi to debate on quota issue #jobs #money #work #: ET SPECIAL:Love visual aspect... https://t.co/epAnNO6Uqy"
"183",0,"RT @cartoonisjagota: #threeidiots #Nitish #Lalu #Congress https://t.co/4gFMvzgSOj"
"184",0,"@ShareThis when ? #nitish"
"185",0,"RT @MediaVsIndia: Watching 56 inch chest #jumlababu picking fight with #Lalu instead of #Nitish.
#मोदी_लालू_से_ज्यादा_भ्रष्ट_है https://t.c…"
"186",0,"RT @MediaVsIndia: Watching 56 inch chest #jumlababu picking fight with #Lalu instead of #Nitish.
#मोदी_लालू_से_ज्यादा_भ्रष्ट_है https://t.c…"
"187",0,"RT @MediaVsIndia: Watching 56 inch chest #jumlababu picking fight with #Lalu instead of #Nitish.
#मोदी_लालू_से_ज्यादा_भ्रष्ट_है https://t.c…"
"188",0,"RT @MediaVsIndia: Watching 56 inch chest #jumlababu picking fight with #Lalu instead of #Nitish.
#मोदी_लालू_से_ज्यादा_भ्रष्ट_है https://t.c…"
"189",0,"@TimesNow #nitish trying to become bevkoof Arvind Kejriwal?"
"190",0,"بی جے پی کو ڈیجیٹل دنیا کا بنیادی علم نہیں: نتیش
#NITISH -# DIGITAL WAR#
Read more at... https://t.co/sqQQeQwSQG"
